time,Biomass [MW],Hydro Power [MW],Wind Offshore [MW] ,Wind Onshore [MW],Photovoltaic [MW],Other Renewable [MW],Nuclear Power [MW],Lignite [MW],Coal [MW],Natural Gas [MW],Pumped Storage [MW],Other Conventional [MW]
2019-01-01 00:00:00,4815.25,1558.0,3134.0,20391.75,0.0,126.0,9001.5,6335.0,2811.75,3273.25,271.75,1724.25
2019-01-01 01:00:00,4808.75,1553.75,2868.25,22365.5,0.0,126.0,8535.25,5379.5,2404.25,2967.25,21.5,1682.25
2019-01-01 02:00:00,4766.25,1511.0,2460.25,23213.25,0.0,126.0,7954.0,5341.0,2228.5,2720.25,150.75,1625.25
2019-01-01 03:00:00,4750.25,1494.75,2696.5,24493.5,0.0,126.0,7221.75,5270.75,2356.75,2653.25,0.0,1615.25
2019-01-01 04:00:00,4755.5,1458.25,2578.0,26399.0,0.0,125.0,7120.0,5178.75,2308.5,2706.0,3.5,1621.5
2019-01-01 05:00:00,4753.0,1385.0,2377.25,27901.0,0.0,125.0,7060.75,5076.5,2311.25,2720.0,2.0,1627.25
2019-01-01 06:00:00,4779.0,1416.25,1930.0,29622.0,0.0,124.75,7035.25,5072.25,2158.75,2714.25,17.75,1624.0
2019-01-01 07:00:00,4806.75,1432.0,2045.0,30314.25,0.0,125.0,7173.0,5038.25,2182.25,2819.5,33.5,1618.75
2019-01-01 08:00:00,4831.5,1446.0,2203.75,30932.25,84.25,125.0,7155.5,4918.75,2267.5,2858.0,34.25,1608.0
2019-01-01 09:00:00,4827.75,1483.25,2075.5,30869.75,582.75,125.0,6990.0,4928.25,2642.25,2864.5,34.0,1619.25
2019-01-01 10:00:00,4861.0,1535.5,2159.0,31738.25,1368.75,124.25,6639.75,4949.0,2696.5,2883.25,49.25,1618.25
2019-01-01 11:00:00,4852.75,1573.5,2723.5,33082.5,2053.25,124.0,6708.5,4918.75,2761.25,2971.75,50.25,1619.5
2019-01-01 12:00:00,4839.25,1600.5,2521.25,33609.25,2231.75,124.25,6954.25,4946.25,2808.75,2957.5,50.75,1620.75
2019-01-01 13:00:00,4817.5,1572.0,2287.0,34353.75,2006.5,124.0,6952.75,4953.75,2811.5,2874.75,232.5,1619.25
