longitude,latitude,msl,tcc,time,cdir,ssr,tsr,sund,u10,v10,u100,v100,t2m
12.8,54.2,102098.82,0.99999225,2019-01-01 00:00:00,0.0,0.0,0.0,0.0,6.9476995,2.5611663,11.359472,3.6517057,279.95172
12.8,54.2,102006.29,1.0000075,2019-01-01 01:00:00,0.0,0.0,0.0,0.0,7.299589,2.1807709,11.828651,3.0468388,280.07324
12.8,54.2,101869.055,0.999977,2019-01-01 02:00:00,0.0,0.0,0.0,0.0,7.554053,2.2094479,12.273197,3.0722666,280.02582
12.8,54.2,101696.1,0.99999225,2019-01-01 03:00:00,0.0,0.0,0.0,0.0,7.9922466,2.7209997,13.012238,3.951435,280.0421
12.8,54.2,101546.41,0.99999225,2019-01-01 04:00:00,0.0,0.0,0.0,0.0,8.479375,2.3524127,13.789911,3.335206,280.2195
12.8,54.2,101321.875,1.0000075,2019-01-01 05:00:00,0.0,0.0,0.0,0.0,8.752523,2.7973318,14.220459,4.076953,280.4354
12.8,54.2,101205.78,0.99999225,2019-01-01 06:00:00,0.0,0.0,0.0,0.0,9.2280855,1.6321077,14.882797,2.2536936,280.67157
12.8,54.2,101202.32,0.8708808,2019-01-01 07:00:00,0.0,0.0,0.0,0.0,9.526147,-0.70087147,15.048523,-1.5313287,281.0663
12.8,54.2,101204.49,0.35460266,2019-01-01 08:00:00,3764.0,4274.0,20390.0,0.0,8.836603,-2.0343637,14.146555,-3.7495377,280.49814
12.8,54.2,101124.18,0.43196884,2019-01-01 09:00:00,119726.0,153856.0,316510.0,2922.2578,9.361991,-2.029303,14.9303875,-3.6126578,280.13055
12.8,54.2,101066.55,0.032396168,2019-01-01 10:00:00,426948.0,464772.0,859988.0,6521.6953,10.114705,-2.453136,15.8609085,-4.2126565,280.2857
12.8,54.2,100966.8,0.15772328,2019-01-01 11:00:00,878744.0,992581.0,1661464.0,10123.9375,10.531545,-2.2806506,16.401192,-3.8918276,280.2442
12.8,54.2,100907.23,0.26183954,2019-01-01 12:00:00,1352378.0,1529472.0,2475350.0,13723.367,11.004883,-2.4801261,17.024899,-4.202918,280.00952
12.8,54.2,100854.41,0.34622514,2019-01-01 13:00:00,1730382.0,1953108.0,3147382.0,17322.797,10.939487,-2.52019,17.031618,-4.249446,279.7042
12.8,54.2,100811.34,0.37686643,2019-01-01 14:00:00,1925408.0,2176412.0,3555212.0,20922.234,10.687248,-3.1021695,16.671055,-5.2341146,278.83612
12.8,54.2,100774.04,0.056857318,2019-01-01 15:00:00,1957034.0,2223423.0,3663376.0,22273.773,10.006602,-2.895103,15.865948,-4.8397064,278.31686
12.8,54.2,100719.46,0.14186856,2019-01-01 16:00:00,1957034.0,2223423.0,3663376.0,22273.773,10.7833395,-3.8102448,16.991306,-6.2366366,278.33957
12.8,54.2,100665.125,0.6617937,2019-01-01 17:00:00,1957034.0,2223423.0,3663376.0,22273.773,9.787728,-4.3492084,15.437078,-7.178564,278.30844
12.8,54.2,100683.45,0.9954907,2019-01-01 18:00:00,1957034.0,2223423.0,3663376.0,22273.773,8.418428,-5.073309,13.173483,-8.348804,278.49075
12.8,54.2,100731.86,0.9998702,2019-01-01 19:00:00,1957034.0,2223423.0,3663376.0,22273.773,7.939307,-6.017128,12.239044,-9.805248,278.31934
